年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2023,臺中市,木瓜,33362,31769,19.4,18.44,23.039,39692.451,731.929,木瓜
2023,臺南市,木瓜,1096538,1071960,633.85,618.61,29.364,50883.241,31476.882,木瓜
2023,高雄市,木瓜,491741,485443,277.5,274.16,27.608,48884.235,13402.102,木瓜
2023,宜蘭縣,木瓜,5577,5577,4.05,4.05,16.724,23030.123,93.272,木瓜
2023,新竹縣,木瓜,8916,8916,6.15,6.15,25.437,36877.886,226.799,木瓜
2023,苗栗縣,木瓜,40439,40439,25.08,25.08,21.377,34468.142,864.461,木瓜
2023,彰化縣,木瓜,63103,61108,36.45,35.3,19.344,33486.969,1182.09,木瓜
2023,南投縣,木瓜,772681,656977,438.99,374.36,24.755,43443.331,16263.446,木瓜
2023,雲林縣,木瓜,318547,314461,185.41,183.08,30.566,52500.681,9611.825,木瓜
2023,嘉義縣,木瓜,435075,415495,262.85,251.35,30.115,49781.281,12512.525,木瓜
2023,屏東縣,木瓜,1153013,1124974,688.97,672.45,29.31,49034.682,32973.372,木瓜
2023,臺東縣,木瓜,115903,111703,92.88,89.38,20.82,26020.284,2325.693,木瓜
2023,花蓮縣,木瓜,25661,21455,14.46,11.84,12.981,23522.889,278.511,木瓜
2023,澎湖縣,木瓜,608,608,1,1,8.191,4980,4.98,木瓜
2023,基隆市,木瓜,72,72,0.04,0.04,6,10800,0.432,木瓜
2023,新竹市,木瓜,364,364,0.21,0.21,26.94,46695.238,9.806,木瓜
2023,嘉義市,木瓜,17970,17340,10.15,9.7,29.783,53241.649,516.444,木瓜
2023,金門縣,木瓜,540,540,0.27,0.27,10.852,21703.704,5.86,木瓜
2023,連江縣,木瓜,-,-,-,-,-,-,-,木瓜
2024,新北市,木瓜,4945,4641,3.22,3.02,12.422,19089.735,57.651,木瓜
2024,臺北市,木瓜,4357,4357,3.02,3.02,11.289,16286.424,49.185,木瓜
2024,桃園市,木瓜,5609,4255,5.94,4.54,20.816,19509.692,88.574,木瓜
2024,臺中市,木瓜,36512,35516,21.44,20.82,22.502,38385.173,799.179,木瓜
2024,臺南市,木瓜,1123928,1052958,648.81,607.53,25.241,43747.463,26577.896,木瓜
2024,高雄市,木瓜,484692,484578,273.79,273.73,25.002,44259.966,12115.28,木瓜
2024,宜蘭縣,木瓜,5090,4055,3.33,2.33,13.541,23565.665,54.908,木瓜
2024,新竹縣,木瓜,8837,8837,6.1,6.1,26.73,38724.098,236.217,木瓜
2024,苗栗縣,木瓜,49411,49411,31.08,31.08,19.686,31296.177,972.685,木瓜
2024,彰化縣,木瓜,67518,62773,38.58,35.93,21.02,36723.056,1319.459,木瓜
2024,南投縣,木瓜,747641,631487,426.92,361.79,23.286,40644.675,14704.837,木瓜
2024,雲林縣,木瓜,284129,278466,165.24,161.98,23.418,40258.381,6521.053,木瓜
2024,嘉義縣,木瓜,430275,408795,259.26,246.56,23.885,39601.022,9764.028,木瓜
2024,屏東縣,木瓜,1156965,1120136,692.37,669.77,27.02,45188.539,30265.927,木瓜
2024,臺東縣,木瓜,86493,80643,62.24,56.94,19.106,27058.946,1540.736,木瓜
2024,花蓮縣,木瓜,20573,17678,11.45,9.9,10.065,17972.323,177.926,木瓜
2024,澎湖縣,木瓜,663,608,1.11,1,8.038,4887,4.887,木瓜
2024,基隆市,木瓜,108,108,0.06,0.06,5.796,10433.333,0.626,木瓜
2024,新竹市,木瓜,382,382,0.22,0.22,27.681,48063.636,10.574,木瓜
2024,嘉義市,木瓜,15210,15210,8.55,8.55,22.607,40215.789,343.845,木瓜
2024,金門縣,木瓜,540,540,0.27,0.27,10.315,20629.63,5.57,木瓜
2024,連江縣,木瓜,-,-,-,-,-,-,-,木瓜
