年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2023,臺東縣,桃,10263,10121,28.26,27.86,13.488,4899.821,136.509,桃
2023,花蓮縣,桃,4637,4183,12.95,11.73,18.872,6729.825,78.941,桃
2023,澎湖縣,桃,-,-,-,-,-,-,-,桃
2023,基隆市,桃,5,5,0.01,0.01,13,6500,0.065,桃
2023,新竹市,桃,3,3,0.01,0.01,29,8700,0.087,桃
2023,嘉義市,桃,-,-,-,-,-,-,-,桃
2023,金門縣,桃,-,-,-,-,-,-,-,桃
2023,連江縣,桃,-,-,-,-,-,-,-,桃
2024,新北市,桃,2387,1332,3.82,2.29,12.745,7413.122,16.976,桃
2024,臺北市,桃,-,-,-,-,-,-,-,桃
2024,桃園市,桃,57238,56955,228.47,227.41,30.658,7678.308,1746.124,桃
2024,臺中市,桃,465676,458739,1215.21,1197.77,23.292,8920.639,10684.874,桃
2024,臺南市,桃,1782,1265,4.24,3.02,21.485,8999.536,27.179,桃
2024,高雄市,桃,19308,19074,63.59,63,14.854,4497.349,283.333,桃
2024,宜蘭縣,桃,3915,3891,10.97,10.89,26.775,9566.758,104.182,桃
2024,新竹縣,桃,35477,35477,117.94,117.94,26.429,7950.042,937.628,桃
2024,苗栗縣,桃,36075,36075,99.71,99.71,21.995,7957.751,793.467,桃
2024,彰化縣,桃,2396,1714,6.21,4.26,17.95,7222.066,30.766,桃
2024,南投縣,桃,41114,39171,124.02,118.47,21.425,7084.012,839.243,桃
2024,雲林縣,桃,2278,2174,6.89,6.68,18.723,6093.263,40.703,桃
2024,嘉義縣,桃,11543,11347,34.05,33.35,32.09,10918.291,364.125,桃
2024,屏東縣,桃,1974,1921,5.65,5.5,20.003,6986.655,38.427,桃
2024,臺東縣,桃,10581,10431,29.16,28.72,12.478,4531.897,130.156,桃
2024,花蓮縣,桃,4634,4558,13.01,12.81,17.567,6250.507,80.069,桃
2024,澎湖縣,桃,-,-,-,-,-,-,-,桃
2024,基隆市,桃,15,15,0.03,0.03,14,7000,0.21,桃
2024,新竹市,桃,-,-,-,-,-,-,-,桃
2024,嘉義市,桃,-,-,-,-,-,-,-,桃
2024,金門縣,桃,-,-,-,-,-,-,-,桃
2024,連江縣,桃,-,-,-,-,-,-,-,桃
