年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2023,苗栗縣,芒果,6175,6175,15.65,15.65,27.966,11034.377,172.688,芒果
2023,彰化縣,芒果,58954,58255,150.68,149.1,24.742,9666.861,1441.329,芒果
2023,南投縣,芒果,49563,47951,124.06,120.16,24.097,9616.075,1155.468,芒果
2023,雲林縣,芒果,63606,63012,153.29,151.86,27.383,11362.182,1725.461,芒果
2023,嘉義縣,芒果,126383,124223,292.78,287.51,30.78,13299.127,3823.632,芒果
2023,屏東縣,芒果,2342752,2275604,5780.22,5621.08,29.544,11960.408,67230.411,芒果
2023,臺東縣,芒果,158312,150006,379.25,360.14,20.706,8624.479,3106.02,芒果
2023,花蓮縣,芒果,53443,25289,119.77,56.71,18.952,8451.37,479.277,芒果
2023,澎湖縣,芒果,-,-,-,-,-,-,-,芒果
2023,基隆市,芒果,30,30,0.1,0.1,16,4800,0.48,芒果
2023,新竹市,芒果,683,501,1.5,1.1,27.91,12711.818,13.983,芒果
2023,嘉義市,芒果,10442,10442,23.75,23.75,24.938,10964.379,260.404,芒果
2023,金門縣,芒果,-,-,-,-,-,-,-,芒果
2023,連江縣,芒果,-,-,-,-,-,-,-,芒果
2024,新北市,芒果,1658,1119,3.46,2.34,13.542,6476.068,15.154,芒果
2024,臺北市,芒果,-,-,-,-,-,-,-,芒果
2024,桃園市,芒果,2160,920,5.24,2.26,20.957,8531.195,19.281,芒果
2024,臺中市,芒果,43272,42509,118.25,116.23,27.009,9877.888,1148.107,芒果
2024,臺南市,芒果,3449922,3438737,7203.55,7179.03,18.005,8624.316,61914.224,芒果
2024,高雄市,芒果,613981,610523,1898.71,1888.87,13.43,4340.866,8199.331,芒果
2024,宜蘭縣,芒果,3414,2123,9.28,5.94,27.141,9700.354,57.62,芒果
2024,新竹縣,芒果,1328,1324,4.22,4.21,21.437,6741.568,28.382,芒果
2024,苗栗縣,芒果,7038,7008,17.55,17.45,25.896,10400.057,181.481,芒果
2024,彰化縣,芒果,64143,60075,164.32,153.06,22.683,8902.976,1362.69,芒果
2024,南投縣,芒果,51083,45945,126.7,114.36,26.246,10544.589,1205.879,芒果
2024,雲林縣,芒果,66263,65701,161.47,159.77,26.416,10862.853,1735.558,芒果
2024,嘉義縣,芒果,126733,124447,294.29,288.65,22.226,9582.515,2765.993,芒果
2024,屏東縣,芒果,2344425,2284323,5784.91,5640.72,21.725,8797.942,49626.726,芒果
2024,臺東縣,芒果,162369,152838,390.95,367.64,20.413,8486.101,3119.83,芒果
2024,花蓮縣,芒果,52066,37536,116.62,84.12,16.263,7256.978,610.457,芒果
2024,澎湖縣,芒果,-,-,-,-,-,-,-,芒果
2024,基隆市,芒果,30,30,0.1,0.1,15.8,4740,0.474,芒果
2024,新竹市,芒果,638,456,1.4,1,25,11400,11.4,芒果
2024,嘉義市,芒果,9372,9372,21.16,21.16,19.71,8729.915,184.725,芒果
2024,金門縣,芒果,-,-,-,-,-,-,-,芒果
2024,連江縣,芒果,-,-,-,-,-,-,-,芒果
