年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2023,新北市,鳳梨,111670,71746,4.19,2.65,0.935,25302.264,67.051,鳳梨
2023,臺北市,鳳梨,-,-,-,-,-,-,-,鳳梨
2023,桃園市,鳳梨,32010,12780,1.06,0.43,1.397,41534.884,17.86,鳳梨
2023,臺中市,鳳梨,5834965,5396140,167.66,155.04,1.335,46457.959,7202.842,鳳梨
2023,臺南市,鳳梨,54182189,34686059,1574.76,1008.11,1.58,54378.333,54819.342,鳳梨
2023,高雄市,鳳梨,54455404,35158507,1510.99,975.62,1.424,51322.863,50071.612,鳳梨
2023,宜蘭縣,鳳梨,870700,638300,33.42,24.14,0.999,26427.009,637.948,鳳梨
2023,新竹縣,鳳梨,7800,7800,0.39,0.39,0.9,18000,7.02,鳳梨
2023,苗栗縣,鳳梨,75065,75065,2.5,2.5,1.098,32979.8,82.45,鳳梨
2023,彰化縣,鳳梨,7570550,6474700,216.89,185.5,1.49,51999.299,9645.87,鳳梨
2023,南投縣,鳳梨,35099650,26589010,997.28,756.09,1.609,56593.864,42790.054,鳳梨
2023,雲林縣,鳳梨,29983066,18574850,881.57,553.84,1.676,56205.429,31128.815,鳳梨
2023,嘉義縣,鳳梨,52161373,33809507,1473.98,955.3,1.549,54831.679,52380.703,鳳梨
2023,屏東縣,鳳梨,134344123,82780438,3482.96,2144.27,1.405,54223.079,116268.921,鳳梨
2023,臺東縣,鳳梨,12057783,9340427,343.32,266.16,1.011,35472.314,9441.311,鳳梨
2023,花蓮縣,鳳梨,3918964,1827609,99.31,46.85,0.982,38318.314,1795.213,鳳梨
2023,澎湖縣,鳳梨,3000,3000,0.1,0.1,0.9,27000,2.7,鳳梨
2023,基隆市,鳳梨,4190,4190,0.17,0.17,1.021,25176.471,4.28,鳳梨
2023,新竹市,鳳梨,-,-,-,-,-,-,-,鳳梨
2023,嘉義市,鳳梨,2729570,1850271,78.01,52.88,1.219,42668.207,2256.295,鳳梨
2023,金門縣,鳳梨,-,-,-,-,-,-,-,鳳梨
2023,連江縣,鳳梨,-,-,-,-,-,-,-,鳳梨
2024,新北市,鳳梨,118454,77832,4.47,2.9,0.919,24676.552,71.562,鳳梨
2024,臺北市,鳳梨,-,-,-,-,-,-,-,鳳梨
2024,桃園市,鳳梨,35300,11250,1.14,0.36,1.13,35313.889,12.713,鳳梨
2024,臺中市,鳳梨,5824058,5514753,167.34,158.43,1.297,45133.75,7150.54,鳳梨
2024,臺南市,鳳梨,52958031,32973200,1537.15,956.14,1.479,51018.187,48780.53,鳳梨
2024,高雄市,鳳梨,52251076,35016390,1450.57,970.87,1.479,53355.128,51800.894,鳳梨
2024,宜蘭縣,鳳梨,789800,513500,32.07,20.39,1.096,27591.221,562.585,鳳梨
2024,新竹縣,鳳梨,7600,7600,0.38,0.38,0.968,19357.895,7.356,鳳梨
2024,苗栗縣,鳳梨,43565,43565,1.45,1.45,1.167,35067.586,50.848,鳳梨
2024,彰化縣,鳳梨,7981480,6489330,229.28,185.83,1.398,48821.256,9072.454,鳳梨
2024,南投縣,鳳梨,33969755,27047437,965.59,769.73,1.607,56450.912,43451.961,鳳梨
2024,雲林縣,鳳梨,29648701,18553550,870.62,550.45,1.659,55914.141,30777.939,鳳梨
2024,嘉義縣,鳳梨,51486116,32571730,1455.26,920.46,1.45,51307.87,47226.842,鳳梨
2024,屏東縣,鳳梨,134094192,79017605,3476.35,2051.92,1.332,51279.593,105221.622,鳳梨
2024,臺東縣,鳳梨,13407689,10436696,381.56,296.96,0.986,34638.124,10286.137,鳳梨
2024,花蓮縣,鳳梨,3673400,1843593,92.6,46.74,1.067,42077.321,1966.694,鳳梨
2024,澎湖縣,鳳梨,-,-,-,-,-,-,-,鳳梨
2024,基隆市,鳳梨,4440,4440,0.18,0.18,0.95,23427.778,4.217,鳳梨
2024,新竹市,鳳梨,-,-,-,-,-,-,-,鳳梨
2024,嘉義市,鳳梨,2770158,1912204,79.17,54.65,1.1,38489.021,2103.425,鳳梨
2024,金門縣,鳳梨,-,-,-,-,-,-,-,鳳梨
2024,連江縣,鳳梨,-,-,-,-,-,-,-,鳳梨
