年度,地區別,果品類別,種植株數,收穫株數,種植面積_公頃,收穫面積_公頃,每株平均產量_公斤,每公頃平均產量_公斤,產量_公噸,查詢水果
2023,臺北市,香蕉,9696,9696,7.78,7.78,13.055,16269.666,126.578,香蕉
2023,桃園市,香蕉,47634,44486,63.39,58.94,17.369,13109.484,772.673,香蕉
2023,臺中市,香蕉,563112,547158,611.12,597.26,17.954,16448.174,9823.837,香蕉
2023,臺南市,香蕉,1353656,1348981,955.11,952.04,14.364,20352.824,19376.703,香蕉
2023,高雄市,香蕉,3988330,3897596,2219.27,2168.54,12.998,23360.918,50659.086,香蕉
2023,宜蘭縣,香蕉,105457,96841,69.28,63.48,14.945,22798.409,1447.243,香蕉
2023,新竹縣,香蕉,150846,150846,107.23,107.23,13.498,18988.082,2036.092,香蕉
2023,苗栗縣,香蕉,169656,167964,128.06,126.96,17.717,23439.229,2975.845,香蕉
2023,彰化縣,香蕉,168535,166658,113.48,112.18,15.982,23743.288,2663.522,香蕉
2023,南投縣,香蕉,3396817,3382979,2722,2712.49,14.634,18251.217,49506.244,香蕉
2023,雲林縣,香蕉,1314449,1285833,700.29,685.19,19.4,36405.259,24944.519,香蕉
2023,嘉義縣,香蕉,3613264,3512614,2344.95,2280.82,14.397,22172.286,50570.994,香蕉
2023,屏東縣,香蕉,7089114,6856354,4013.37,3883.22,15.426,27235.994,105763.356,香蕉
2023,臺東縣,香蕉,770717,729939,466.67,443.3,9.382,15448.337,6848.248,香蕉
2023,花蓮縣,香蕉,395485,316521,221.19,177.33,12.104,21604.9,3831.197,香蕉
2023,澎湖縣,香蕉,2214,2115,2.15,2.07,15.735,16076.812,33.279,香蕉
2023,基隆市,香蕉,5903,5903,4.44,4.44,8.503,11304.955,50.194,香蕉
2023,新竹市,香蕉,11407,11407,7.31,7.31,11.492,17933.516,131.094,香蕉
2023,嘉義市,香蕉,42750,42300,28.5,28.2,11.909,17862.766,503.73,香蕉
2023,金門縣,香蕉,1600,1600,0.8,0.8,7.625,15250,12.2,香蕉
2023,連江縣,香蕉,-,-,-,-,-,-,-,香蕉
