city_id,ObsTime,StnPres,Temperature,RH,WS,Precp,typhoon,typhoon_name
NTO,2025/10/11,901.05,20.85,83.79,0.89,0.01,0,
CYQ,2025/10/11,974.45,25.41,89.93,0.94,0.0,0,
ILN,2025/10/11,954.17,22.38,91.48,1.3,0.04,0,
PIF,2025/10/11,994.69,26.11,88.1,2.18,0.0,0,
CHA,2025/10/11,1007.69,27.71,89.0,0.5,0.0,0,
NTP,2025/10/11,993.77,25.42,87.93,1.64,0.03,0,
HSC,2025/10/11,971.34,23.54,88.65,0.68,0.0,0,
TAO,2025/10/11,984.5,25.36,79.94,1.74,0.0,0,
TXG,2025/10/11,935.89,22.86,81.08,0.85,0.0,0,
TPE,2025/10/11,989.46,26.15,82.32,1.56,0.0,0,
TNN,2025/10/11,1007.12,27.34,87.81,1.01,0.0,0,
TTT,2025/10/11,980.82,24.5,88.22,1.1,0.0,0,
HUA,2025/10/11,974.15,23.15,89.84,0.67,0.0,0,
MIA,2025/10/11,983.05,24.57,90.05,0.65,0.0,0,
YUN,2025/10/11,1001.74,26.83,90.69,1.0,0.0,0,
KHH,2025/10/11,1003.43,27.45,85.58,0.86,0.0,0,
