city_id,ObsTime,StnPres,Temperature,RH,WS,Precp,typhoon,typhoon_name
NTO,2025/10/13,903.54,19.9,90.71,0.86,0.16,0,
CYQ,2025/10/13,977.66,24.66,90.09,0.54,0.7,0,
ILN,2025/10/13,956.33,23.19,92.65,1.05,0.08,0,
PIF,2025/10/13,997.11,25.91,91.43,1.18,2.41,0,
CHA,2025/10/13,1010.48,26.85,86.11,0.53,0.0,0,
NTP,2025/10/13,995.73,25.36,86.33,1.02,0.0,0,
HSC,2025/10/13,974.07,23.35,88.92,0.72,0.0,0,
TAO,2025/10/13,987.19,25.48,81.97,0.89,0.0,0,
TXG,2025/10/13,937.68,22.18,83.34,0.97,0.0,0,
TPE,2025/10/13,990.89,25.91,83.56,0.52,0.0,0,
TNN,2025/10/13,1009.54,26.91,85.44,0.56,0.31,0,
TTT,2025/10/13,982.79,24.62,90.29,1.09,0.2,0,
HUA,2025/10/13,976.26,23.44,93.82,0.63,5.41,0,
MIA,2025/10/13,985.79,23.66,87.4,0.67,0.0,0,
YUN,2025/10/13,1004.29,25.89,90.29,0.63,0.0,0,
KHH,2025/10/13,1005.57,26.95,85.08,0.71,0.54,0,
