city_id,ObsTime,StnPres,Temperature,RH,WS,Precp,typhoon,typhoon_name
NTO,2025/10/15,901.21,20.38,92.51,0.64,0.1,0,
CYQ,2025/10/15,976.41,25.18,92.98,0.48,0.21,0,
ILN,2025/10/15,956.5,23.4,90.59,1.6,0.44,0,
PIF,2025/10/15,996.53,26.01,88.97,1.85,3.13,0,
CHA,2025/10/15,1009.98,27.31,91.82,0.74,0.0,0,
NTP,2025/10/15,995.49,26.34,77.6,2.29,0.02,0,
HSC,2025/10/15,973.55,23.74,90.69,0.63,0.0,0,
TAO,2025/10/15,988.87,25.85,76.06,1.08,0.0,0,
TXG,2025/10/15,937.84,22.7,89.45,1.05,0.03,0,
TPE,2025/10/15,996.76,27.17,67.17,1.98,0.0,0,
TNN,2025/10/15,1009.18,26.92,89.85,0.68,0.46,0,
TTT,2025/10/15,982.77,24.59,88.38,1.34,1.25,0,
HUA,2025/10/15,974.12,23.49,91.76,0.81,0.7,0,
MIA,2025/10/15,984.07,24.88,90.9,0.95,0.0,0,
YUN,2025/10/15,1004.15,26.52,93.23,0.79,0.0,0,
KHH,2025/10/15,1005.12,26.77,89.66,0.71,6.5,0,
